こめ　［もち米製品］　赤飯　　,4.3,0.6,41.9,14.39,186.88
こめ　［もち米製品］　あくまき　　,2.3,1.8,25.7,1.01,323.24
こめ　［もち米製品］　白玉粉　　,6.3,1.0,80.0,15.45,125.02000000000001
こめ　［もち米製品］　道明寺粉　　,7.1,0.7,80.4,6.71,104.02000000000001
こめ　［その他］　米ぬか　　,13.4,19.6,48.8,276.03000000000003,4491.95
そば　そば粉　全層粉　　,12.0,3.1,69.6,82.23,1082.83
そば　そば粉　内層粉　　,6.0,1.6,77.6,41.050000000000004,437.46
そば　そば粉　中層粉　　,10.2,2.7,71.6,76.72999999999999,1164.95
そば　そば粉　表層粉　　,15.0,3.6,65.1,145.39999999999998,1935.13
そば　そば米　　　,9.6,2.5,73.7,31.8,816.14
そば　そば　生　　,9.8,1.9,54.5,31.720000000000002,472.46999999999997
そば　そば　ゆで　　,4.8,1.0,26.0,12.54,176.68
そば　干しそば　乾　　,14.0,2.3,66.7,34.14,619.5500000000001
そば　干しそば　ゆで　　,4.8,0.7,22.1,6.77,131.73000000000002
とうもろこし　玄穀　黄色種　　,8.6,5.0,70.6,417.76000000000005,669.78
とうもろこし　玄穀　白色種　　,8.6,5.0,70.6,44.760000000000005,669.78
とうもろこし　コーンミール　黄色種　　,8.3,4.0,72.4,419.63,457.44
とうもろこし　コーンミール　白色種　　,8.3,4.0,72.4,35.63,457.44
とうもろこし　コーングリッツ　黄色種　　,8.2,1.0,76.4,463.04,249.77
とうもろこし　コーングリッツ　白色種　　,8.2,1.0,76.4,13.040000000000001,249.77
とうもろこし　コーンフラワー　黄色種　　,6.6,2.8,76.1,336.07,325.41
とうもろこし　コーンフラワー　白色種　　,6.6,2.8,76.1,12.069999999999999,325.41
とうもろこし　ジャイアントコーン　フライ　味付け　　,5.7,11.8,76.6,20.53,389.27000000000004
とうもろこし　ポップコーン　　　,10.2,22.8,59.6,497.13999999999993,698.9
とうもろこし　コーンフレーク　　　,7.8,1.7,83.6,307.8100000000001,179.17
はとむぎ　精白粒　　　,13.3,1.3,72.2,16.9,124.72000000000001
ひえ　精白粒　　　,9.4,3.3,73.2,21.240000000000002,606.32
もろこし　玄穀　　　,10.3,4.7,71.1,80.38000000000001,1241.0700000000002
もろこし　精白粒　　　,9.5,2.6,74.1,34.73,829.03
ライむぎ　全粒粉　　　,12.7,2.7,70.7,79.26,898.59
ライむぎ　ライ麦粉　　　,8.5,1.6,75.8,36.85,337.31
穀類混合品　五穀　,12.6,2.8,70.2,123.33000000000001,895.51
＜いも類＞きくいも　塊茎　生　　　,1.9,0.4,14.7,36.08,709.8499999999999
＜いも類＞きくいも　塊茎　水煮　　　,1.6,0.5,11.3,26.84,552.81
＜いも類＞こんにゃく　精粉　　　,3.0,0.1,85.3,72.42,3345.9799999999996
＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　,0.1,0.0,2.3,1.02,83.53999999999999
＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　,0.1,0.1,3.3,2.12,219.89
＜いも類＞こんにゃく　赤こんにゃく　　　,0.1,0.0,2.5,1.02,180.65
＜いも類＞こんにゃく　凍みこんにゃく　乾　　,3.3,1.4,77.1,62.28,2828.68
＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　,0.7,0.3,16.8,13.3,609.1600000000001
＜いも類＞こんにゃく　しらたき　　　,0.2,0.0,3.0,0.01,101.64999999999999
＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　,1.2,0.2,31.9,143.70999999999998,594.38
＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　,1.2,0.2,31.9,148.62,593.38
＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　,1.4,0.2,39.0,81.11,653.4200000000002
＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　,0.9,0.5,33.1,164.29999999999998,497.2
＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　,0.9,0.2,33.7,175.98000000000002,506.21999999999997
＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　,1.4,6.8,38.4,222.35,520.47
＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　,3.1,0.6,71.9,26.93,1174.3
＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　,1.2,0.3,31.7,68.66,480.51
＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　,1.2,0.3,31.4,68.42999999999999,538.5600000000001
＜いも類＞（さといも類）　さといも　球茎　生　　,1.5,0.1,13.1,51.42,734.14
＜いも類＞（さといも類）　さといも　球茎　水煮　　,1.5,0.1,13.4,45.74,645.9999999999999
＜いも類＞（さといも類）　さといも　球茎　冷凍　　,2.2,0.1,16.1,38.94,434.7
＜いも類＞（さといも類）　セレベス　球茎　生　　,2.2,0.3,19.8,72.12,830.7700000000001
＜いも類＞（さといも類）　セレベス　球茎　水煮　　,2.1,0.3,19.1,61.440000000000005,654.8299999999999
＜いも類＞（さといも類）　たけのこいも　球茎　生　　,1.7,0.4,23.5,81.4,673.66
＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　,1.6,0.4,21.8,74.54,550.62
＜いも類＞（さといも類）　みずいも　球茎　生　　,0.7,0.4,27.6,48.190000000000005,406.81
＜いも類＞（さといも類）　みずいも　球茎　水煮　　,0.7,0.4,26.1,34.790000000000006,416.72
＜いも類＞（さといも類）　やつがしら　球茎　生　　,3.0,0.7,20.5,59.71,789.63
＜いも類＞（さといも類）　やつがしら　球茎　水煮　　,2.7,0.6,20.0,40.010000000000005,653.36
＜いも類＞じゃがいも　塊茎　生　　　,1.6,0.1,17.6,58.47,482.81
＜いも類＞じゃがいも　塊茎　蒸し　　　,1.5,0.1,19.7,38.67,375.71
＜いも類＞じゃがいも　塊茎　水煮　　　,1.5,0.1,16.8,40.84,390.78
＜いも類＞じゃがいも　フライドポテト　　　,2.9,10.6,32.4,104.34,748.54
＜いも類＞じゃがいも　乾燥マッシュポテト　　　,6.6,0.6,82.8,109.18,1449.86
＜いも類＞ヤーコン　塊根　生　　　,0.6,0.3,12.4,75.35,290.44
＜いも類＞ヤーコン　塊根　水煮　　　,0.6,0.3,9.9,88.01,234.42999999999998
＜いも類＞（やまのいも類）　ながいも　いちょういも　塊根　生　,4.5,0.5,22.6,29.460000000000004,692.25
＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　生　,2.2,0.3,13.9,17.62,495.83
＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　水煮　,2.0,0.3,12.6,12.78,489.81999999999994
＜いも類＞（やまのいも類）　ながいも　やまといも　塊根　生　,4.5,0.2,27.1,29.63,713.53
＜いも類＞（やまのいも類）　じねんじょ　塊根　生　　,2.8,0.7,26.7,57.1,614.83
＜いも類＞（やまのいも類）　だいじょ　塊根　生　　,2.6,0.1,25.0,51.75,585.27
＜でん粉・でん粉製品＞（でん粉類）　キャッサバでん粉　　　,0.1,0.2,85.3,0.0,87.42
＜でん粉・でん粉製品＞（でん粉類）　くずでん粉　　　,0.2,0.2,85.6,0.0,37.040000000000006
＜でん粉・でん粉製品＞（でん粉類）　米でん粉　　　,0.2,0.7,89.3,0.0,60.660000000000004
＜でん粉・でん粉製品＞（でん粉類）　小麦でん粉　　　,0.2,0.5,86.0,0.0,60.78000000000001
＜でん粉・でん粉製品＞（でん粉類）　サゴでん粉　　　,0.1,0.2,86.1,0.0,22.17
＜でん粉・でん粉製品＞（でん粉類）　さつまいもでん粉　　　,0.1,0.2,82.0,0.0,68.91999999999999
＜でん粉・でん粉製品＞（でん粉類）　じゃがいもでん粉　　　,0.1,0.1,81.6,0.0,96.63
＜でん粉・でん粉製品＞（でん粉類）　とうもろこしでん粉　　　,0.1,0.7,86.3,0.1,29.44
＜でん粉・でん粉製品＞（でん粉製品）　くずきり　乾　　,0.2,0.2,87.7,0.0,45.58
＜でん粉・でん粉製品＞（でん粉製品）　くずきり　ゆで　　,0.1,0.1,33.3,0.0,11.42
＜でん粉・でん粉製品＞（でん粉製品）　ごま豆腐　　　,1.5,4.3,9.1,9.069999999999999,135.22
＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　乾　　,0.0,0.2,87.8,0.0,47.74
＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　ゆで　　,0.0,0.0,15.4,0.0,6.109999999999999
